"1","1120-01-01"
"3","1210-01-01"
"24","1225-01-01"
"1","1230"
"4","1250-01-01"
"3","1255-01-01"
"3","1260-01-01"
"9","1265-01-01"
"1","1275-01-01"
"1","1280-01-01"
"3","1285-01-01"
"85","1300-01-01"
"1","1301-01-01"
"3","1315-01-01"
"7","1320-01-01"
"2","1325-01-01"
"1","1330-01-01"
"1","1335-01-01"
"1","1340-01-01"
"1","1345-01-01"
"49","1350-01-01"
"5","1360-01-01"
"16","1370-01-01"
"81","1380-01-01"
"37","1390-01-01"
"74","1400-01-01"
"7","1410-01-01"
"23","1420-01-01"
"1","1425-01-01"
"1","1430-01-01"
"1","1440-01-01"
"99","1450-01-01"
"1","1450-12-31"
"16","1460-01-01"
"1","1460-12-31"
"27","1470-01-01"
"11","1475-01-01"
"30","1480-01-01"
"2","1485-01-01"
"10","1490-01-01"
"1","1495-01-01"
"113","1500-01-01"
"1","1502-01-01"
"2","1505-01-01"
"6","1510-01-01"
"3","1512-01-01"
"4","1515-01-01"
"3","1520-01-01"
"2","1525-01-01"
"3","1530-01-01"
"1","1550-01-01"
"1","1600-01-01"
"4","1800-01-01"
"1","1898-01-01"
"14","1900-01-01"
